      left      right     bottom        top 
1.00000000 1.00000000 1.00000000 1.00000000 

-5.8181E-3 3.07043E-2 4.17623E-3 1.60019E-2 
-5.8243E-3 3.06978E-2 4.18892E-3 1.60304E-2 
-5.8297E-3 3.06920E-2 4.20211E-3 1.60592E-2 
-5.8352E-3 3.06860E-2 4.21496E-3 1.60874E-2 
-5.8403E-3 3.06804E-2 4.22794E-3 1.61155E-2 
-5.8443E-3 3.06756E-2 4.24166E-3 1.61441E-2 
-5.8492E-3 3.06699E-2 4.25428E-3 1.61714E-2 
-5.8536E-3 3.06647E-2 4.26713E-3 1.61987E-2 
-5.8572E-3 3.06601E-2 4.28053E-3 1.62264E-2 
-5.8606E-3 3.06556E-2 4.29390E-3 1.62538E-2 
-5.8635E-3 3.06517E-2 4.30759E-3 1.62813E-2 
-5.8661E-3 3.06478E-2 4.32128E-3 1.63087E-2 
-5.8685E-3 3.06442E-2 4.33508E-3 1.63360E-2 
-5.8704E-3 3.06409E-2 4.34906E-3 1.63632E-2 
-5.8720E-3 3.06379E-2 4.36325E-3 1.63906E-2 
-5.8731E-3 3.06353E-2 4.37762E-3 1.64178E-2 
-5.8746E-3 3.06322E-2 4.39152E-3 1.64445E-2 
-5.8753E-3 3.06299E-2 4.40603E-3 1.64716E-2 
-5.8757E-3 3.06278E-2 4.42061E-3 1.64986E-2 
-5.8759E-3 3.06259E-2 4.43533E-3 1.65256E-2 
-5.8757E-3 3.06242E-2 4.45025E-3 1.65526E-2 
-5.8750E-3 3.06231E-2 4.46554E-3 1.65799E-2 
-5.8740E-3 3.06222E-2 4.48102E-3 1.66072E-2 
-5.8724E-3 3.06218E-2 4.49692E-3 1.66347E-2 
-5.8705E-3 3.06216E-2 4.51295E-3 1.66623E-2 
-5.8680E-3 3.06220E-2 4.52954E-3 1.66902E-2 
-5.8650E-3 3.06229E-2 4.54653E-3 1.67185E-2 
-5.8616E-3 3.06241E-2 4.56377E-3 1.67468E-2 
-5.8576E-3 3.06258E-2 4.58152E-3 1.67755E-2 
-5.8531E-3 3.06281E-2 4.59974E-3 1.68046E-2 
-5.8482E-3 3.06306E-2 4.61815E-3 1.68337E-2 
-5.8433E-3 3.06332E-2 4.63660E-3 1.68628E-2 
-5.8377E-3 3.06363E-2 4.65561E-3 1.68922E-2 
-5.8319E-3 3.06397E-2 4.67476E-3 1.69217E-2 
-5.8256E-3 3.06434E-2 4.69427E-3 1.69515E-2 
-5.8185E-3 3.06481E-2 4.71466E-3 1.69820E-2 
-5.8110E-3 3.06530E-2 4.73529E-3 1.70126E-2 
-5.8027E-3 3.06586E-2 4.75665E-3 1.70439E-2 
-5.7941E-3 3.06647E-2 4.77835E-3 1.70754E-2 
-5.7859E-3 3.06701E-2 4.79952E-3 1.71062E-2 
-5.7775E-3 3.06758E-2 4.82083E-3 1.71371E-2 
-5.7685E-3 3.06821E-2 4.84274E-3 1.71685E-2 
-5.7590E-3 3.06889E-2 4.86517E-3 1.72003E-2 
-5.7493E-3 3.06957E-2 4.88762E-3 1.72320E-2 
-5.7393E-3 3.07029E-2 4.91045E-3 1.72641E-2 
-5.7290E-3 3.07103E-2 4.93353E-3 1.72962E-2 
-5.7185E-3 3.07180E-2 4.95679E-3 1.73285E-2 
-5.7071E-3 3.07265E-2 4.98090E-3 1.73616E-2 
-5.6950E-3 3.07357E-2 5.00569E-3 1.73952E-2 
-5.6825E-3 3.07452E-2 5.03082E-3 1.74291E-2 
