      left      right     bottom        top 
1.00000000 1.00000000 1.00000000 1.00000000 

2.67467E-3 1.29161E-2 2.75940E-4 3.36158E-2 
2.67915E-3 1.29373E-2 2.76116E-4 3.36148E-2 
2.68363E-3 1.29584E-2 2.76269E-4 3.36137E-2 
2.68813E-3 1.29793E-2 2.76401E-4 3.36126E-2 
2.69263E-3 1.29999E-2 2.76504E-4 3.36114E-2 
2.69714E-3 1.30204E-2 2.76577E-4 3.36102E-2 
2.70166E-3 1.30409E-2 2.76621E-4 3.36089E-2 
2.70618E-3 1.30610E-2 2.76649E-4 3.36075E-2 
2.71071E-3 1.30811E-2 2.76661E-4 3.36062E-2 
2.71525E-3 1.31010E-2 2.76646E-4 3.36047E-2 
2.71978E-3 1.31208E-2 2.76606E-4 3.36032E-2 
2.72432E-3 1.31404E-2 2.76541E-4 3.36017E-2 
2.72886E-3 1.31599E-2 2.76467E-4 3.36001E-2 
2.73341E-3 1.31794E-2 2.76382E-4 3.35984E-2 
2.73795E-3 1.31987E-2 2.76274E-4 3.35968E-2 
2.74249E-3 1.32180E-2 2.76144E-4 3.35950E-2 
2.74703E-3 1.32373E-2 2.75991E-4 3.35933E-2 
2.75158E-3 1.32563E-2 2.75835E-4 3.35915E-2 
2.75612E-3 1.32752E-2 2.75676E-4 3.35896E-2 
2.76065E-3 1.32938E-2 2.75497E-4 3.35878E-2 
2.76519E-3 1.33121E-2 2.75298E-4 3.35858E-2 
2.76972E-3 1.33303E-2 2.75080E-4 3.35839E-2 
2.77424E-3 1.33482E-2 2.74855E-4 3.35819E-2 
2.77876E-3 1.33660E-2 2.74644E-4 3.35799E-2 
2.78328E-3 1.33835E-2 2.74415E-4 3.35778E-2 
2.78779E-3 1.34008E-2 2.74168E-4 3.35757E-2 
2.79229E-3 1.34179E-2 2.73906E-4 3.35736E-2 
2.79678E-3 1.34354E-2 2.73627E-4 3.35715E-2 
2.80127E-3 1.34528E-2 2.73375E-4 3.35693E-2 
2.80575E-3 1.34700E-2 2.73116E-4 3.35671E-2 
2.81022E-3 1.34870E-2 2.72843E-4 3.35649E-2 
2.81469E-3 1.35039E-2 2.72555E-4 3.35626E-2 
2.81914E-3 1.35207E-2 2.72253E-4 3.35603E-2 
2.82359E-3 1.35372E-2 2.71943E-4 3.35580E-2 
2.82803E-3 1.35537E-2 2.71676E-4 3.35557E-2 
2.83245E-3 1.35699E-2 2.71395E-4 3.35533E-2 
2.83687E-3 1.35860E-2 2.71101E-4 3.35510E-2 
2.84127E-3 1.36020E-2 2.70795E-4 3.35486E-2 
2.84567E-3 1.36178E-2 2.70477E-4 3.35462E-2 
2.85005E-3 1.36335E-2 2.70151E-4 3.35437E-2 
2.85443E-3 1.36491E-2 2.69884E-4 3.35413E-2 
2.85879E-3 1.36645E-2 2.69606E-4 3.35388E-2 
2.86314E-3 1.36797E-2 2.69317E-4 3.35363E-2 
2.86748E-3 1.36949E-2 2.69016E-4 3.35339E-2 
2.87181E-3 1.37099E-2 2.68705E-4 3.35314E-2 
2.87612E-3 1.37247E-2 2.68383E-4 3.35288E-2 
2.88043E-3 1.37395E-2 2.68109E-4 3.35263E-2 
2.88472E-3 1.37541E-2 2.67859E-4 3.35238E-2 
2.88900E-3 1.37686E-2 2.67599E-4 3.35212E-2 
2.89327E-3 1.37829E-2 2.67329E-4 3.35187E-2 
2.89752E-3 1.37972E-2 2.67050E-4 3.35161E-2 
2.90176E-3 1.38113E-2 2.66761E-4 3.35135E-2 
2.90599E-3 1.38253E-2 2.66464E-4 3.35110E-2 
2.91021E-3 1.38392E-2 2.66234E-4 3.35084E-2 
2.91442E-3 1.38529E-2 2.66032E-4 3.35058E-2 
2.91861E-3 1.38666E-2 2.65822E-4 3.35032E-2 
2.92279E-3 1.38801E-2 2.65604E-4 3.35006E-2 
2.92696E-3 1.38936E-2 2.65379E-4 3.34980E-2 
2.93111E-3 1.39069E-2 2.65147E-4 3.34954E-2 
2.93525E-3 1.39201E-2 2.64908E-4 3.34928E-2 
2.93938E-3 1.39332E-2 2.64668E-4 3.34902E-2 
2.94350E-3 1.39462E-2 2.64552E-4 3.34876E-2 
2.94761E-3 1.39592E-2 2.64431E-4 3.34850E-2 
2.95170E-3 1.39720E-2 2.64305E-4 3.34824E-2 
2.95578E-3 1.39847E-2 2.64174E-4 3.34798E-2 
2.95985E-3 1.39973E-2 2.64039E-4 3.34772E-2 
2.96390E-3 1.40098E-2 2.63899E-4 3.34747E-2 
2.96794E-3 1.40223E-2 2.63756E-4 3.34721E-2 
2.97197E-3 1.40352E-2 2.63610E-4 3.34695E-2 
2.97599E-3 1.40480E-2 2.63532E-4 3.34669E-2 
2.98000E-3 1.40607E-2 2.63545E-4 3.34643E-2 
2.98399E-3 1.40733E-2 2.63557E-4 3.34618E-2 
2.98797E-3 1.40859E-2 2.63568E-4 3.34592E-2 
2.99194E-3 1.40983E-2 2.63579E-4 3.34567E-2 
2.99589E-3 1.41107E-2 2.63591E-4 3.34541E-2 
2.99984E-3 1.41230E-2 2.63604E-4 3.34516E-2 
3.00377E-3 1.41353E-2 2.63618E-4 3.34490E-2 
3.00769E-3 1.41474E-2 2.63634E-4 3.34465E-2 
3.01160E-3 1.41595E-2 2.63652E-4 3.34440E-2 
3.01549E-3 1.41715E-2 2.63744E-4 3.34415E-2 
3.01937E-3 1.41835E-2 2.63962E-4 3.34390E-2 
3.02324E-3 1.41953E-2 2.64186E-4 3.34364E-2 
3.02710E-3 1.42071E-2 2.64415E-4 3.34340E-2 
3.03095E-3 1.42188E-2 2.64650E-4 3.34315E-2 
3.03478E-3 1.42305E-2 2.64892E-4 3.34290E-2 
3.03861E-3 1.42421E-2 2.65142E-4 3.34265E-2 
3.04242E-3 1.42536E-2 2.65399E-4 3.34240E-2 
3.04621E-3 1.42650E-2 2.65666E-4 3.34216E-2 
3.05000E-3 1.42764E-2 2.65942E-4 3.34191E-2 
3.05377E-3 1.42877E-2 2.66228E-4 3.34167E-2 
3.05753E-3 1.42990E-2 2.66524E-4 3.34143E-2 
3.06128E-3 1.43102E-2 2.66832E-4 3.34118E-2 
3.06502E-3 1.43213E-2 2.67317E-4 3.34094E-2 
3.06875E-3 1.43323E-2 2.67866E-4 3.34070E-2 
3.07246E-3 1.43433E-2 2.68429E-4 3.34046E-2 
3.07616E-3 1.43543E-2 2.69007E-4 3.34022E-2 
3.07985E-3 1.43651E-2 2.69600E-4 3.33998E-2 
3.08353E-3 1.43760E-2 2.70209E-4 3.33974E-2 
3.08720E-3 1.43867E-2 2.70835E-4 3.33950E-2 
3.09086E-3 1.43974E-2 2.71479E-4 3.33926E-2 
3.09450E-3 1.44080E-2 2.72141E-4 3.33902E-2 
3.09813E-3 1.44186E-2 2.72821E-4 3.33879E-2 
3.10176E-3 1.44291E-2 2.73521E-4 3.33855E-2 
3.10537E-3 1.44396E-2 2.74241E-4 3.33831E-2 
3.10897E-3 1.44500E-2 2.74982E-4 3.33808E-2 
3.11256E-3 1.44604E-2 2.75746E-4 3.33784E-2 
3.11614E-3 1.44707E-2 2.76532E-4 3.33761E-2 
3.11971E-3 1.44809E-2 2.77341E-4 3.33738E-2 
3.12327E-3 1.44911E-2 2.78173E-4 3.33714E-2 
3.12682E-3 1.45012E-2 2.79030E-4 3.33691E-2 
3.13037E-3 1.45113E-2 2.80010E-4 3.33667E-2 
3.13390E-3 1.45214E-2 2.81119E-4 3.33644E-2 
3.13743E-3 1.45313E-2 2.82253E-4 3.33621E-2 
3.14094E-3 1.45413E-2 2.83412E-4 3.33598E-2 
3.14445E-3 1.45512E-2 2.84598E-4 3.33575E-2 
