  0.000000E+00  5.000000E-03  1.800510E+00
  2.743666E+02  1.000000E-02  1.150920E+00
  6.341208E+02  1.500000E-02  1.440416E+00
  8.611662E+02  2.000000E-02  1.017040E+00
  1.009356E+03  2.500000E-02  8.301520E-01
  1.034569E+03  3.000000E-02  5.830443E-01
  9.900792E+02  3.500000E-02  6.166961E-01
  9.270569E+02  4.000000E-02  9.229954E-01
  9.305419E+02  4.500000E-02  1.598544E+00
  1.078719E+03  5.000000E-02  2.592914E+00
  1.436721E+03  5.500000E-02  3.830801E+00
  2.035533E+03  6.000000E-02  5.170114E+00
  2.866567E+03  6.500000E-02  6.461507E+00
  3.880785E+03  7.000000E-02  7.568487E+00
  4.999377E+03  7.500000E-02  8.407440E+00
  6.130763E+03  8.000000E-02  8.966265E+00
  7.191913E+03  8.500000E-02  9.312702E+00
  8.128401E+03  9.000000E-02  9.581624E+00
  8.928860E+03  9.500000E-02  9.947250E+00
  9.629956E+03  1.000000E-01  1.058380E+01
  1.031031E+04  1.050000E-01  1.162412E+01
  1.107411E+04  1.100000E-01  1.312512E+01
  1.202762E+04  1.150000E-01  1.504892E+01
  1.325372E+04  1.200000E-01  1.726472E+01
  1.479015E+04  1.250000E-01  1.957259E+01
  1.661691E+04  1.300000E-01  2.174523E+01
  1.865638E+04  1.350000E-01  2.357936E+01
  2.078705E+04  1.400000E-01  2.494576E+01
  2.286864E+04  1.450000E-01  2.582647E+01
  2.477390E+04  1.500000E-01  2.632951E+01
  2.642015E+04  1.550000E-01  2.667592E+01
  2.779329E+04  1.600000E-01  2.715932E+01
  2.895809E+04  1.650000E-01  2.808446E+01
  3.005100E+04  1.700000E-01  2.969610E+01
  3.125535E+04  1.750000E-01  3.211255E+01
  3.276242E+04  1.800000E-01  3.527844E+01
  3.472552E+04  1.850000E-01  3.894852E+01
  3.721605E+04  1.900000E-01  4.270871E+01
  4.019102E+04  1.950000E-01  4.603380E+01
  4.348016E+04  2.000000E-01  4.837362E+01
  4.679731E+04  2.050000E-01  4.925350E+01
  4.977626E+04  2.100000E-01  4.837106E+01
  5.202680E+04  2.150000E-01  4.567087E+01
  5.320204E+04  2.200000E-01  4.138182E+01
  5.306568E+04  2.250000E-01  3.600776E+01
  5.154684E+04  2.300000E-01  3.027072E+01
  4.877176E+04  2.350000E-01  2.501407E+01
