
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                   (svFSI)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 06-03-2020

 Running in parallel with 24 tasks
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <../../mesh/N016/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Number of available faces: 7
 <VTK XML Parser> Loading file <../../mesh/N016/mesh-surfaces/X0.vtp>
 <VTK XML Parser> Loading file <../../mesh/N016/mesh-surfaces/X1.vtp>
 <VTK XML Parser> Loading file <../../mesh/N016/mesh-surfaces/Y0.vtp>
 <VTK XML Parser> Loading file <../../mesh/N016/mesh-surfaces/Y1.vtp>
 <VTK XML Parser> Loading file <../../mesh/N016/mesh-surfaces/Z0.vtp>
 <VTK XML Parser> Loading file <../../mesh/N016/mesh-surfaces/Z1.vtp>
 <VTK XML Parser> Loading file <../../mesh/N016/mesh-surfaces/Z1_patch.vtp>
 Number of nodes: 35937
 Number of elements: 24576
 Mesh data imported successfully
 Domain size X: 0.000000 1.000E-3
 Domain size Y: 0.000000 1.000E-3
 Domain size Z: 0.000000 1.000E-3
 Number of equations: 1
 Using preconditioner: trilinos-ilut
 Number of imposed BC for equation <ustruct>: 6
 Configuration is completed successfully
 ParMETIS partitioned the mesh by cutting 3500 elements
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 1061524
 Initializing state variables to zero
 Eq. <ST>
    Volume of domain <-1> is 9.99E-10
 Area of face <X0> is 9.999E-7
 Area of face <X1> is 9.999E-7
 Area of face <Y0> is 9.999E-7
 Area of face <Y1> is 9.999E-7
 Area of face <Z0> is 9.999E-7
 Area of face <Z1> is 7.500E-7
 Area of face <patch> is 2.500E-7

---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 New time step size: 1.000E-2
 ST    10-1  3.49E2  [   0 1.00000 3.00481 9.95E-7]  [ 227  -12  93]
 ST    10-2  3.57E2  [ -23 6.91E-2 2.07E-1 9.82E-7]  [ 195  -19  92]
 ST    10-3  3.66E2  [-105 5.57E-6 1.67E-5 9.60E-7]  [ 217   -5  93]
 ST    10-4s 3.77E2  [-225 5.3E-12 1.6E-11 9.53E-7]  [ 259   -3  94]
 ST    11-1  3.88E2  [   0 1.00000 9.36E-1 9.13E-7]  [ 238  -20  83]
 ST    11-2  3.97E2  [ -17 1.35E-1 1.26E-1 9.99E-7]  [ 206    0  93]
 ST    11-3  4.05E2  [ -94 1.79E-5 1.67E-5 9.70E-7]  [ 204  -22  92]
 ST    11-4  4.16E2  [-215 1.7E-11 1.6E-11 9.85E-7]  [ 292  -17  94]
 ST    12-1  4.25E2  [   0 1.00000 2.22057 9.91E-7]  [ 206    0  93]
 ST    12-2  4.34E2  [ -29 3.26E-2 7.25E-2 9.95E-7]  [ 220   -6  93]
 ST    12-3  4.42E2  [-102 7.22E-6 1.60E-5 9.49E-7]  [ 201  -21  92]
 ST    12-4  4.54E2  [-223 6.8E-12 1.5E-11 9.67E-7]  [ 280  -14  94]
 ST    13-1  4.63E2  [   0 1.00000 1.38793 9.34E-7]  [ 207   -1  93]
 ST    13-2  4.72E2  [ -29 3.19E-2 4.43E-2 9.85E-7]  [ 232  -14  93]
 ST    13-3  4.80E2  [ -98 1.12E-5 1.56E-5 9.53E-7]  [ 198  -20  92]
 ST    13-4  4.91E2  [-219 1.0E-11 1.4E-11 9.48E-7]  [ 267   -5  94]
 ST    14-1  5.00E2  [   0 1.00000 1.90122 9.57E-7]  [ 208   -2  93]
 ST    14-2  5.10E2  [ -37 1.28E-2 2.43E-2 9.83E-7]  [ 238  -19  93]
 ST    14-3  5.17E2  [-101 7.96E-6 1.51E-5 9.87E-7]  [ 190  -16  92]
 ST    14-4  5.29E2  [-222 7.8E-12 1.4E-11 9.88E-7]  [ 284  -11  94]
 ST    15-1  5.37E2  [   0 1.00000 1.59018 9.22E-7]  [ 195  -18  92]
 ST    15-2  5.48E2  [ -39 1.01E-2 1.60E-2 9.79E-7]  [ 275   -5  94]
 ST    15-3  5.55E2  [-100 9.26E-6 1.47E-5 9.43E-7]  [ 189  -16  92]
 ST    15-4  5.67E2  [-221 8.7E-12 1.3E-11 9.79E-7]  [ 261   -2  94]
 ST    16-1  5.76E2  [   0 1.00000 1.78031 9.92E-7]  [ 208   -1  93]
 ST    16-2  5.87E2  [ -45 5.38E-3 9.59E-3 9.83E-7]  [ 281   -9  94]
 ST    16-3  5.95E2  [-101 8.03E-6 1.43E-5 9.41E-7]  [ 196  -19  92]
 ST    16-4  6.05E2  [-222 7.5E-12 1.3E-11 9.72E-7]  [ 254  -28  92]
 ST    17-1  6.12E2  [   0 1.00000 1.66981 9.72E-7]  [ 190  -15  91]
 ST    17-2  6.24E2  [ -46 4.86E-3 8.11E-3 9.55E-7]  [ 298  -19  94]
 ST    17-3  6.31E2  [-101 8.33E-6 1.39E-5 9.56E-7]  [ 199  -21  92]
 ST    17-4  6.43E2  [-221 7.9E-12 1.3E-11 9.89E-7]  [ 279  -12  94]
 ST    18-1  6.50E2  [   0 1.00000 1.73689 9.67E-7]  [ 184  -12  92]
 ST    18-2  6.62E2  [ -48 3.94E-3 6.85E-3 9.84E-7]  [ 302  -21  94]
 ST    18-3  6.69E2  [-102 7.79E-6 1.35E-5 9.92E-7]  [ 197  -20  92]
 ST    18-4  6.80E2  [-222 7.7E-12 1.3E-11 9.85E-7]  [ 272   -9  94]
 ST    19-1  6.88E2  [   0 1.00000 1.69883 9.42E-7]  [ 191  -15  92]
 ST    19-2  7.00E2  [ -47 4.03E-3 6.84E-3 9.73E-7]  [ 306  -23  94]
 ST    19-3  7.07E2  [-102 7.77E-6 1.32E-5 9.72E-7]  [ 196  -20  92]
 ST    19-4  7.19E2  [-222 7.5E-12 1.2E-11 9.10E-7]  [ 261   -4  94]
 ST    20-1  7.26E2  [   0 1.00000 1.72116 9.86E-7]  [ 168   -6  92]
 ST    20-2  7.39E2  [ -48 3.93E-3 6.77E-3 9.75E-7]  [ 310   -1  95]
 ST    20-3  7.47E2  [-102 7.47E-6 1.28E-5 9.71E-7]  [ 197  -20  92]
 ST    20-4s 7.58E2  [-222 7.2E-12 1.2E-11 9.88E-7]  [ 264   -5  94]
 ST    21-1  7.67E2  [   0 1.00000 1.70773 9.88E-7]  [ 180  -10  79]
 ST    21-2  7.79E2  [ -47 4.01E-3 6.85E-3 9.74E-7]  [ 314   -2  95]
 ST    21-3  7.87E2  [-102 7.36E-6 1.25E-5 9.70E-7]  [ 196  -20  92]
 ST    21-4  7.97E2  [-222 7.1E-12 1.2E-11 9.10E-7]  [ 255  -31  93]
 ST    22-1  8.04E2  [   0 1.00000 1.71400 9.65E-7]  [ 170   -6  92]
 ST    22-2  8.17E2  [ -47 4.04E-3 6.92E-3 9.54E-7]  [ 315   -3  94]
 ST    22-3  8.25E2  [-102 7.16E-6 1.22E-5 9.85E-7]  [ 196  -20  92]
