lumen_inlet lumen_outlet lumen_wall 
1.232520E1 1.234882E1 3.755186E2 

3.21716E-1 3.27327E-1 5.52793E-1 
3.17385E-1 3.23883E-1 5.42373E-1 
3.12932E-1 3.20310E-1 5.31758E-1 
3.08363E-1 3.16611E-1 5.20959E-1 
3.03682E-1 3.12791E-1 5.09986E-1 
2.98893E-1 3.08854E-1 4.98851E-1 
2.94001E-1 3.04802E-1 4.87563E-1 
2.89012E-1 3.00642E-1 4.76134E-1 
2.83930E-1 2.96376E-1 4.64575E-1 
2.78760E-1 2.92009E-1 4.52896E-1 
2.73508E-1 2.87546E-1 4.41110E-1 
2.68178E-1 2.82991E-1 4.29228E-1 
2.62776E-1 2.78349E-1 4.17262E-1 
2.57308E-1 2.73624E-1 4.05222E-1 
2.51778E-1 2.68822E-1 3.93122E-1 
2.46192E-1 2.63946E-1 3.80972E-1 
2.40555E-1 2.59003E-1 3.68785E-1 
2.34874E-1 2.53997E-1 3.56572E-1 
2.29154E-1 2.48933E-1 3.44346E-1 
2.23399E-1 2.43817E-1 3.32119E-1 
2.17617E-1 2.38653E-1 3.19903E-1 
2.11812E-1 2.33447E-1 3.07709E-1 
2.05990E-1 2.28204E-1 2.95551E-1 
2.00157E-1 2.22931E-1 2.83439E-1 
1.94318E-1 2.17631E-1 2.71387E-1 
1.88480E-1 2.12311E-1 2.59406E-1 
1.82647E-1 2.06976E-1 2.47507E-1 
1.76825E-1 2.01632E-1 2.35704E-1 
1.71021E-1 1.96285E-1 2.24008E-1 
1.65239E-1 1.90939E-1 2.12430E-1 
1.59485E-1 1.85602E-1 2.00983E-1 
1.53764E-1 1.80279E-1 1.89677E-1 
1.48083E-1 1.74975E-1 1.78526E-1 
1.42446E-1 1.69697E-1 1.67539E-1 
1.36858E-1 1.64451E-1 1.56729E-1 
1.31326E-1 1.59243E-1 1.46107E-1 
1.25854E-1 1.54081E-1 1.35685E-1 
1.20448E-1 1.48972E-1 1.25474E-1 
1.15112E-1 1.43923E-1 1.15486E-1 
1.09852E-1 1.38947E-1 1.05733E-1 
1.04672E-1 1.34055E-1 9.62290E-2 
9.95787E-2 1.29269E-1 8.69918E-2 
9.45749E-2 1.24616E-1 7.80551E-2 
8.96662E-2 1.20129E-1 6.94620E-2 
8.48572E-2 1.15854E-1 6.12731E-2 
8.01522E-2 1.11872E-1 5.35364E-2 
7.55559E-2 1.08188E-1 4.63360E-2 
7.10725E-2 1.04757E-1 3.98302E-2 
6.67063E-2 1.01586E-1 3.41075E-2 
6.24613E-2 9.86541E-2 2.93879E-2 
5.83416E-2 9.58905E-2 2.58723E-2 
5.43511E-2 9.32863E-2 2.36159E-2 
5.04936E-2 9.08504E-2 2.26064E-2 
