
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                   (svFSI)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 06-22-2020

 Running in parallel with 12 tasks
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Number of available faces: 7
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-surfaces/X0.vtp>
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-surfaces/X1.vtp>
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-surfaces/Y0.vtp>
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-surfaces/Y1.vtp>
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-surfaces/Z0.vtp>
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-surfaces/Z1.vtp>
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-surfaces/Z1_patch.vtp>
 Number of nodes: 35937
 Number of elements: 196608
 Mesh data imported successfully
 Domain size X: 0.000000 1.000E-3
 Domain size Y: 0.000000 1.000E-3
 Domain size Z: 0.000000 1.000E-3
 Number of equations: 1
 Using preconditioner: fsils
 Number of imposed BC for equation <struct>: 6
 Configuration is completed successfully
 ParMETIS partitioned the mesh by cutting 10036 elements
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 549893
 Initializing state variables to zero
 Eq. <ST>
    Volume of domain <-1> is 1.000E-9
 Area of face <X0> is 1.000E-6
 Area of face <X1> is 1.000E-6
 Area of face <Y0> is 1.000E-6
 Area of face <Y1> is 1.000E-6
 Area of face <Z0> is 1.000E-6
 Area of face <Z1> is 7.500E-7
 Area of face <patch> is 2.500E-7

---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 New time step size: 1.000E-2
 ST    10-2  1.42E2  [ -52 2.31E-3 1.45E-3 1.38E-3]  !1000    0  90!
 ST    10-3  1.46E2  [-109 3.21E-6 2.02E-6 1.29E-3]  [ 817   -5  88]
 ST    10-4  1.46E2  [-167 4.17E-9 2.62E-9 1.00000]  [   0    0   0]
 ST    11-1  1.51E2  [   0 1.00000 6.78E-2 9.02E-4]  !1000    0  90!
 ST    11-2  1.55E2  [ -41 8.05E-3 5.46E-4 8.68E-4]  !1000    0  90!
 ST    11-3  1.59E2  [-103 6.99E-6 4.74E-7 7.69E-3]  [ 913    0  89]
 ST    12-1  1.63E2  [   0 1.00000 4.00E-1 7.71E-5]  !1000   -1  90!
 ST    12-2  1.67E2  [ -67 4.30E-4 1.72E-4 1.88E-3]  !1000    0  90!
 ST    12-3  1.71E2  [-121 8.09E-7 3.24E-7 1.04E-2]  [ 690  -14  86]
 ST    13-1  1.75E2  [   0 1.00000 1.26E-1 2.25E-4]  !1000    0  90!
 ST    13-2  1.79E2  [ -66 4.96E-4 6.28E-5 1.34E-3]  !1000    0  90!
 ST    13-3  1.81E2  [-123 6.67E-7 8.44E-8 4.32E-2]  [ 467    0  80]
 ST    14-1  1.86E2  [   0 1.00000 2.98E-1 9.12E-5]  !1000   -2  90!
 ST    14-2  1.90E2  [ -77 1.28E-4 3.85E-5 3.64E-3]  !1000   -3  90!
 ST    14-3  1.93E2  [-126 4.70E-7 1.40E-7 2.22E-2]  [ 616   -5  85]
 ST    15-1  1.97E2  [   0 1.00000 1.91E-1 9.69E-5]  !1000    0  90!
 ST    15-2  2.02E2  [ -79 1.10E-4 2.11E-5 2.04E-3]  !1000    0  90!
 ST    15-3  2.03E2  [-132 2.25E-7 4.32E-8 7.06E-2]  [ 221   -2  66]
 ST    16-1  2.07E2  [   0 1.00000 2.56E-1 1.01E-5]  !1000    0  90!
 ST    16-2  2.12E2  [ -82 7.75E-5 1.99E-5 1.52E-3]  !1000   -1  90!
 ST    16-3  2.13E2  [-138 1.18E-7 3.04E-8 1.19E-1]  [ 135    0  54]
 ST    17-1  2.17E2  [   0 1.00000 2.17E-1 1.28E-5]  !1000    0  90!
 ST    17-2  2.21E2  [ -82 7.31E-5 1.58E-5 2.23E-4]  [ 909   -1  89]
 ST    17-3  2.21E2  [-155 1.63E-8 3.55E-9 1.00000]  [   0    0   0]
 ST    18-1  2.26E2  [   0 1.00000 2.39E-1 2.13E-5]  !1000    0  90!
 ST    18-2  2.30E2  [ -82 7.74E-5 1.85E-5 2.23E-3]  !1000    0  90!
 ST    18-3  2.32E2  [-135 1.73E-7 4.16E-8 8.77E-2]  [ 414    0  78]
 ST    19-1  2.36E2  [   0 1.00000 2.25E-1 4.65E-5]  !1000    0  90!
 ST    19-2  2.41E2  [ -81 8.60E-5 1.93E-5 1.21E-3]  !1000    0  90!
 ST    19-3  2.42E2  [-139 1.04E-7 2.36E-8 1.42E-1]  [ 143   -1  56]
 ST    20-1  2.46E2  [   0 1.00000 2.31E-1 1.58E-4]  !1000   13  90!
 ST    20-2  2.50E2  [ -75 1.74E-4 4.04E-5 2.59E-3]  !1000    0  90!
 ST    20-3  2.53E2  [-126 4.52E-7 1.04E-7 3.45E-2]  [ 445    0  80]
 ST    21-1  2.57E2  [   0 1.00000 2.25E-1 3.49E-5]  !1000   -2  90!
 ST    21-2  2.61E2  [ -82 7.73E-5 1.74E-5 7.94E-4]  !1000    0  90!
 ST    21-3  2.62E2  [-144 6.14E-8 1.38E-8 2.58E-1]  [ 137    0  55]
 ST    22-1  2.66E2  [   0 1.00000 2.26E-1 2.12E-5]  !1000    0  90!
 ST    22-2  2.71E2  [ -83 6.99E-5 1.58E-5 6.25E-4]  !1000    0  90!
 ST    22-3  2.72E2  [-147 4.37E-8 9.91E-9 3.48E-1]  [ 148   -1  56]
 ST    23-1  2.76E2  [   0 1.00000 2.22E-1 5.81E-5]  !1000    0  90!
 ST    23-2  2.80E2  [ -81 8.71E-5 1.94E-5 6.24E-3]  !1000    0  90!
 ST    23-3  2.83E2  [-125 5.44E-7 1.21E-7 2.94E-2]  [ 632   -1  85]
 ST    24-1  2.88E2  [   0 1.00000 2.21E-1 5.49E-5]  !1000    0  90!
 ST    24-2  2.92E2  [ -81 8.33E-5 1.84E-5 2.57E-3]  !1000   -1  90!
 ST    24-3  2.94E2  [-133 2.14E-7 4.74E-8 7.60E-2]  [ 362    0  76]
 ST    25-1  2.98E2  [   0 1.00000 2.18E-1 3.81E-5]  !1000    0  90!
 ST    25-2  3.03E2  [ -82 7.13E-5 1.55E-5 1.47E-3]  !1000    0  90!
 ST    25-3  3.04E2  [-139 1.04E-7 2.29E-8 1.59E-1]  [ 292    0  72]
 ST    26-1  3.08E2  [   0 1.00000 2.15E-1 1.80E-5]  !1000    0  90!
