
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                   (svFSI)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 06-24-2020

 Running sequentially
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <../mesh/N016/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Number of available faces: 4
 <VTK XML Parser> Loading file <../mesh/N016/mesh-surfaces/bottom.vtp>
 <VTK XML Parser> Loading file <../mesh/N016/mesh-surfaces/top.vtp>
 <VTK XML Parser> Loading file <../mesh/N016/mesh-surfaces/left.vtp>
 <VTK XML Parser> Loading file <../mesh/N016/mesh-surfaces/right.vtp>
 Number of nodes: 289
 Number of elements: 512
 Mesh data imported successfully
 Domain size X: 0.000000 1.000000
 Domain size Y: 0.000000 1.000000
 Number of equations: 1
 Using preconditioner: svfsi
 Number of imposed BC for equation <stokes>: 3
 Configuration is completed successfully
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 1889
 Initializing state variables to zero
 Eq. <SS>
    Volume of domain <-1> is 9.999E-1
 Area of face <bottom> is 1.000000
 Area of face <top> is 1.000000
 Area of face <left> is 1.000000
 Area of face <right> is 1.000000

---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 New time step size: 2.000E-3
 SS    21-2  1.0659  [-180 9.8E-10 2.0E-11 4.71E-2]  [  74  -13  50]
 SS    22-1  1.0930  [   0 1.00000 1.80E-2 9.8E-10]  [ 708  -11 100]
 SS    22-2  1.0980  [-180 9.8E-10 1.7E-11 5.42E-2]  [ 137   -9 100]
 SS    23-1  1.1270  [   0 1.00000 1.57E-2 9.9E-10]  [ 709   -8  97]
 SS    23-2  1.1340  [-180 9.9E-10 1.5E-11 6.14E-2]  [ 176   -2  86]
 SS    24-1  1.1620  [   0 1.00000 1.37E-2 9.9E-10]  [ 635   -8  96]
 SS    24-2  1.1690  [-180 9.9E-10 1.3E-11 7.05E-2]  [ 166   -3  86]
 SS    25-1  1.1929  [   0 1.00000 1.20E-2 9.5E-10]  [ 621   -3  96]
 SS    25-2  1.1990  [-180 9.5E-10 1.1E-11 8.38E-2]  [ 127   -6  67]
 SS    26-1  1.2230  [   0 1.00000 1.05E-2 9.8E-10]  [ 625   -4 100]
 SS    26-2  1.2299  [-180 9.8E-10 1.0E-11 9.28E-2]  [ 164   -1  86]
 SS    27-1  1.2540  [   0 1.00000 9.18E-3 9.8E-10]  [ 631   -5  96]
 SS    27-2  1.2600  [-180 9.8E-10 9.0E-12 1.07E-1]  [ 149   -7  83]
 SS    28-1  1.2870  [   0 1.00000 8.02E-3 9.8E-10]  [ 702   -6  96]
 SS    28-2  1.2930  [-180 9.8E-10 7.9E-12 1.22E-1]  [ 142   -6  83]
 SS    29-1  1.3199  [   0 1.00000 7.02E-3 9.8E-10]  [ 709   -7  96]
 SS    29-2  1.3260  [-180 9.8E-10 6.9E-12 1.40E-1]  [ 126   -4  83]
 SS    30-1  1.3529  [   0 1.00000 6.13E-3 9.8E-10]  [ 703   -7  96]
 SS    30-2  1.3569  [-180 9.8E-10 6.0E-12 1.59E-1]  [  99   -8 100]
 SS    31-1  1.3820  [   0 1.00000 5.37E-3 9.9E-10]  [ 649  -10  96]
 SS    31-2  1.3850  [-180 9.9E-10 5.3E-12 1.78E-1]  [  57   -2  67]
 SS    32-1  1.4089  [   0 1.00000 4.70E-3 9.7E-10]  [ 636   -7  96]
 SS    32-2  1.4140  [-180 9.7E-10 4.6E-12 2.11E-1]  [ 106    0  80]
 SS    33-1  1.4380  [   0 1.00000 4.11E-3 9.9E-10]  [ 621   -3  96]
 SS    33-2  1.4419  [-180 9.9E-10 4.1E-12 2.32E-1]  [  81   -3  50]
 SS    34-1  1.4660  [   0 1.00000 3.60E-3 9.6E-10]  [ 619   -3 100]
 SS    34-2  1.4690  [-180 9.6E-10 3.4E-12 2.79E-1]  [  74   -2 100]
 SS    35-1  1.4930  [   0 1.00000 3.16E-3 9.9E-10]  [ 631   -6  96]
 SS    35-2  1.4969  [-180 9.9E-10 3.1E-12 3.03E-1]  [  82   -3  75]
 SS    36-1  1.5220  [   0 1.00000 2.77E-3 9.9E-10]  [ 674    0 100]
 SS    36-2  1.5250  [-180 9.9E-10 2.7E-12 3.26E-1]  [  43  -11  67]
 SS    37-1  1.5509  [   0 1.00000 2.43E-3 9.8E-10]  [ 688   -3  96]
 SS    37-2  1.5540  [-180 9.8E-10 2.3E-12 4.01E-1]  [  62   -1  67]
 SS    38-1  1.5800  [   0 1.00000 2.13E-3 9.9E-10]  [ 689   -4  96]
 SS    38-2  1.5830  [-180 9.9E-10 2.1E-12 4.55E-1]  [  60   -1  67]
 SS    39-1  1.6110  [   0 1.00000 1.87E-3 9.6E-10]  [ 704   -8  96]
 SS    39-2  1.6130  [-180 9.6E-10 1.8E-12 5.32E-1]  [  29   -6   0]
 SS    40-1  1.6399  [   0 1.00000 1.64E-3 9.6E-10]  [ 705   -8 100]
 SS    40-2  1.6409  [-180 9.6E-10 1.5E-12 6.01E-1]  [  26   -5 100]
 SS    41-1  1.6690  [   0 1.00000 1.45E-3 9.7E-10]  [ 718   -1  96]
 SS    41-2  1.6700  [-180 9.7E-10 1.4E-12 6.73E-1]  [  17   -4 100]
 SS    42-1  1.6980  [   0 1.00000 1.27E-3 9.5E-10]  [ 714  -11  96]
 SS    42-2  1.6990  [-180 9.5E-10 1.2E-12 7.81E-1]  [  11   -2   0]
 SS    43-1  1.7269  [   0 1.00000 1.12E-3 9.8E-10]  [ 722   -2  96]
 SS    43-2  1.7279  [-180 9.8E-10 1.1E-12 8.61E-1]  [   9   -1   0]
 SS    44-1  1.7560  [   0 1.00000 9.92E-4 9.9E-10]  [ 723   -2  96]
 SS    44-2  1.7570  [-180 9.9E-10 9.8E-13 9.78E-1]  [   3    0   0]
 SS    45-1  1.7849  [   0 1.00000 8.75E-4 1.10E-9]  [ 740   -6  96]
 SS    45-2  1.7860  [-179 1.10E-9 9.6E-13 1.00000]  !   0    0   0!
 SS    46-1  1.8140  [   0 1.00000 7.73E-4 1.24E-9]  [ 744   -6 100]
 SS    46-2  1.8150  [-178 1.24E-9 9.6E-13 1.00000]  !   0    0   0!
 SS    47-1  1.8430  [   0 1.00000 6.83E-4 1.38E-9]  [ 724   -3  96]
 SS    47-2  1.8440  [-177 1.38E-9 9.4E-13 1.00000]  !   0    0   0!
 SS    48-1  1.8719  [   0 1.00000 6.04E-4 1.60E-9]  [ 746   -6  96]
 SS    48-2  1.8729  [-175 1.60E-9 9.6E-13 1.00000]  !   0    0   0!
 SS    49-1  1.9020  [   0 1.00000 5.35E-4 1.81E-9]  [ 750   -7  97]
 SS    49-2  1.9030  [-174 1.81E-9 9.7E-13 1.00000]  !   0    0   0!
 SS    50-1  1.9320  [   0 1.00000 4.74E-4 2.03E-9]  [ 753   -8 100]
 SS    50-2  1.9330  [-173 2.03E-9 9.6E-13 1.00000]  !   0    0   0!
 SS    51-1  1.9629  [   0 1.00000 4.20E-4 2.30E-9]  [ 799   -4 100]
 SS    51-2  1.9639  [-172 2.30E-9 9.7E-13 1.00000]  !   0    0   0!
 SS    52-1  1.9949  [   0 1.00000 3.73E-4 2.57E-9]  [ 819   -1  97]
 SS    52-2  1.9959  [-171 2.57E-9 9.6E-13 1.00000]  !   0    0   0!
 SS    53-1  2.0280  [   0 1.00000 3.32E-4 2.92E-9]  [ 818    0  97]
 SS    53-2  2.0290  [-170 2.92E-9 9.7E-13 1.00000]  !   0    0   0!
 SS    54-1  2.0600  [   0 1.00000 2.95E-4 3.27E-9]  [ 823   -1 100]
 SS    54-2  2.0610  [-169 3.27E-9 9.6E-13 1.00000]  !   0    0   0!
 SS    55-1  2.0930  [   0 1.00000 2.63E-4 3.68E-9]  [ 824   -1  97]
 SS    55-2  2.0940  [-168 3.68E-9 9.7E-13 1.00000]  !   0    0   0!
 SS    56-1  2.1260  [   0 1.00000 2.34E-4 4.11E-9]  [ 803   -5 100]
 SS    56-2  2.1270  [-167 4.11E-9 9.6E-13 1.00000]  !   0    0   0!
 SS    57-1  2.1599  [   0 1.00000 2.09E-4 4.60E-9]  [ 809   -6  97]
 SS    57-2  2.1610  [-166 4.60E-9 9.6E-13 1.00000]  !   0    0   0!
 SS    58-1  2.1909  [   0 1.00000 1.87E-4 5.17E-9]  [ 783   -2  97]
 SS    58-2  2.1919  [-165 5.17E-9 9.6E-13 1.00000]  !   0    0   0!
 SS    59-1  2.2220  [   0 1.00000 1.67E-4 5.75E-9]  [ 795   -4  97]
