
 ----------------------------------------------
             Copyright (C), 2013
            Mahdi Esmaily Moghadam

      Multi-Physics Finite Element Solver
                  (MUPFES v8)
 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 10-28-2017

 Running sequentially
 Number of meshes: 1
 Reading mesh <patch>
 <VTK XML Parser> Loading file <./mesh/tri/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <patch>
 Number of available faces: 4
 <VTK XML Parser> Loading file <./mesh/tri/mesh-surfaces/x0.vtp>
 <VTK XML Parser> Loading file <./mesh/tri/mesh-surfaces/x1.vtp>
 <VTK XML Parser> Loading file <./mesh/tri/mesh-surfaces/y0.vtp>
 <VTK XML Parser> Loading file <./mesh/tri/mesh-surfaces/y1.vtp>
 Number of nodes: 494
 Number of elements: 906
 Mesh data imported successfully
 Domain size X: 0.000000 2.0000E1
 Domain size Y: 0.000000 2.0000E1
 Domain size Z: 0.000000 0.000000
 Number of equations: 1
 Number of imposed BC for equation <shell>: 4
 Configuration is completed successfully
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 8658
 Initializing state variables to zero
Volume of domain 3.9999E2

----------------------------------------------------------
Eq     N-i     T      dB   Ri/R0    R/Ri     lsIt  dB  %t
----------------------------------------------------------
New time step size: 1.000E-1
SH     9-1  5.8E-1  [   0 1.32E-2 4.15E-7]  [  17 -147   8]
SH     9-2  5.9E-1  [ -27 5.57E-4 9.40E-7]  [  15 -139   8]
SH     9-3  6.0E-1  [ -47 5.39E-5 8.89E-7]  [  15 -139   9]
SH     9-4  6.1E-1  [ -67 5.88E-6 5.68E-6]  [  13 -121   8]
SH     9-5  6.2E-1  [ -85 6.96E-7 5.76E-5]  [  10 -98   9]
SH    10-1  6.4E-1  [   0 1.19E-2 4.02E-7]  [  17 -147   8]
SH    10-2  6.5E-1  [ -27 4.77E-4 9.40E-7]  [  15 -139   8]
SH    10-3  6.6E-1  [ -48 4.59E-5 8.93E-7]  [  15 -139   9]
SH    10-4  6.7E-1  [ -67 4.98E-6 5.76E-6]  [  13 -121   0]
SH    10-5  6.8E-1  [ -86 5.86E-7 5.84E-5]  [  10 -97   0]
SH    11-1  6.9E-1  [   0 1.09E-2 4.09E-7]  [  17 -147   8]
SH    11-2  7.1E-1  [ -28 4.14E-4 9.41E-7]  [  15 -139   9]
SH    11-3  7.2E-1  [ -48 3.98E-5 8.94E-7]  [  15 -139   8]
SH    11-4  7.3E-1  [ -68 4.28E-6 1.15E-5]  [  12 -114   0]
SH    11-5  7.4E-1  [ -86 5.02E-7 5.94E-5]  [  10 -97   0]
