
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                  (svFSI v8)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 02-24-2019

 Running in parallel with 24 tasks
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Make sure nodes in elements are arranged 1-4 on
      one face and 5-8 on the opposite face
 Number of available faces: 6
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/X0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/X1sym.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Y0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Y1sym.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Z0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Z1.vtp>
 Number of nodes: 18786
 Number of elements: 15000
 Loading fiber directions
 Mesh data imported successfully
 Domain size X: 0.000000 1.500000
 Domain size Y: 0.000000 2.500E-1
 Domain size Z: 0.000000 5.000000
 Number of equations: 1
 Using preconditioner: Trilinos-ILUT
 Number of imposed BC for equation <vms_struct>: 5
 Configuration is completed successfully
 ParMETIS partitioned the mesh by cutting 2773 elements
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 465966
 Initializing state variables to zero
 Volume of domain 1.874999
 Area of face <X0> is 1.249999
 Area of face <X1s> is 1.250000
 Area of face <Y0> is 7.500000
 Area of face <Y1s> is 7.500000
 Area of face <Z0> is 3.749E-1
 Area of face <Z1> is 3.749E-1

----------------------------------------------------------
Eq     N-i     T      dB   Ri/R0    R/Ri     lsIt  dB  %t
----------------------------------------------------------
 New time step size: 1.000E-4
ST    12-2  8.52E1  [ -12 2.11E-1 9.10E-7]  [ 125 -16  92]
ST    12-3  8.71E1  [ -88 3.22E-5 9.50E-7]  [ 139 -31  92]
ST    12-4  8.95E1  [-209 3.0E-11 9.55E-7]  [ 168 -11  93]
ST    13-1  9.14E1  [   0 9.23E-1 9.82E-7]  [ 144 -33  92]
ST    13-2  9.32E1  [ -10 2.61E-1 9.12E-7]  [ 125 -16  91]
ST    13-3  9.51E1  [ -85 5.18E-5 9.73E-7]  [ 139 -27  92]
ST    13-4  9.75E1  [-205 4.9E-11 9.71E-7]  [ 177 -18  93]
ST    14-1  9.93E1  [   0 9.81E-1 9.29E-7]  [ 143 -31  92]
ST    14-2  1.01E2  [  -9 3.25E-1 9.10E-7]  [ 125 -15  91]
ST    14-3  1.03E2  [ -80 9.28E-5 9.63E-7]  [ 143 -30  92]
ST    14-4  1.05E2  [-200 8.9E-11 9.79E-7]  [ 169 -10  93]
ST    15-1  1.07E2  [   0 1.05636 9.42E-7]  [ 136 -28  92]
ST    15-2  1.09E2  [  -8 3.94E-1 9.45E-7]  [ 125 -15  91]
ST    15-3  1.10E2  [ -76 1.50E-4 9.36E-7]  [ 144 -31  92]
ST    15-4  1.13E2  [-197 1.4E-10 8.19E-7]  [ 176 -18  93]
ST    16-1  1.15E2  [   0 1.13346 9.69E-7]  [ 142 -29  92]
ST    16-2  1.17E2  [  -7 4.55E-1 9.13E-7]  [ 126 -16  92]
ST    16-3  1.19E2  [ -74 2.08E-4 9.92E-7]  [ 144 -31  92]
ST    16-4  1.21E2  [-194 2.1E-10 9.42E-7]  [ 182 -20  94]
ST    17-1  1.23E2  [   0 1.20101 9.46E-7]  [ 142 -29  92]
ST    17-2  1.25E2  [  -7 5.03E-1 9.92E-7]  [ 126 -16  91]
ST    17-3  1.27E2  [ -73 2.53E-4 8.90E-7]  [ 144 -31  92]
