
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                   (svFSI)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 06-24-2020

 Running sequentially
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Number of available faces: 4
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/bottom.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/top.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/left.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/right.vtp>
 Number of nodes: 25
 Number of elements: 32
 Mesh data imported successfully
 Domain size X: 0.000000 1.000000
 Domain size Y: 0.000000 1.000000
 Number of equations: 1
 Using preconditioner: svfsi
 Number of imposed BC for equation <stokes>: 3
 Configuration is completed successfully
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 137
 Initializing state variables to zero
 Eq. <SS>
    Volume of domain <-1> is 9.999E-1
 Area of face <bottom> is 1.000000
 Area of face <top> is 1.000000
 Area of face <left> is 1.000000
 Area of face <right> is 1.000000

---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 New time step size: 2.000E-3
 SS    26-1  7.9E-3  [   0 1.00000 6.11E-3 1.2E-12]  [  53  -96   0]
 SS    26-2  8.9E-3  [-237 1.2E-12 7.7E-15 1.00000]  !   0    0   0!
 SS    27-1  8.9E-3  [   0 1.00000 5.43E-3 9.9E-10]  [  48 -207   0]
 SS    27-2  8.9E-3  [-160 9.26E-9 5.0E-11 3.42E-3]  [  26  -57   0]
 SS    28-1  8.9E-3  [   0 1.00000 4.83E-3 9.1E-10]  [  46 -208   0]
 SS    28-2  8.9E-3  [-168 3.86E-9 1.8E-11 9.47E-3]  [  26  -47   0]
 SS    29-1  8.9E-3  [   0 1.00000 4.30E-3 3.6E-13]  [  53 -110   0]
 SS    29-2  9.9E-3  [-248 3.7E-13 1.5E-15 1.00000]  !   0    0   0!
 SS    30-1  9.9E-3  [   0 1.00000 3.83E-3 8.4E-10]  [  47 -209   0]
 SS    30-2  9.9E-3  [-166 4.59E-9 1.7E-11 1.00E-2]  [  21  -46   0]
 SS    31-1  9.9E-3  [   0 1.00000 3.40E-3 7.7E-10]  [  49 -210   0]
 SS    31-2  9.9E-3  [-161 8.23E-9 2.8E-11 7.60E-3]  [  25  -49   0]
 SS    32-1  9.9E-3  [   0 1.00000 3.02E-3 7.7E-13]  [  53  -94   0]
 SS    32-2  1.0E-2  [-242 7.8E-13 2.3E-15 1.00000]  !   0    0   0!
 SS    33-1  1.0E-2  [   0 1.00000 2.69E-3 1.5E-12]  [  53  -94   0]
 SS    33-2  1.0E-2  [-236 1.5E-12 4.1E-15 1.00000]  !   0    0 -99!
 SS    34-1  1.0E-2  [   0 1.00000 2.39E-3 7.9E-10]  [  43 -210   0]
 SS    34-2  1.0E-2  [-168 3.95E-9 9.4E-12 1.88E-2]  [  22  -40   0]
 SS    35-1  1.0E-2  [   0 1.00000 2.12E-3 7.3E-10]  [  48 -210   0]
 SS    35-2  1.0E-2  [-156 1.42E-8 3.0E-11 6.84E-3]  [  22  -50   0]
 SS    36-1  1.1E-2  [   0 1.00000 1.89E-3 7.9E-10]  [  47 -210 100]
 SS    36-2  1.1E-2  [-163 6.58E-9 1.2E-11 1.67E-2]  [  24  -41   0]
 SS    37-1  1.1E-2  [   0 1.00000 1.68E-3 3.0E-13]  [  53 -109   0]
 SS    37-2  1.1E-2  [-249 3.3E-13 5.5E-16 1.00000]  !   0    0  98!
 SS    38-1  1.1E-2  [   0 1.00000 1.49E-3 7.3E-10]  [  49 -210   0]
 SS    38-2  1.1E-2  [-161 8.57E-9 1.2E-11 1.08E-2]  [  20  -45   0]
 SS    39-1  1.2E-2  [   0 1.00000 1.32E-3 5.3E-13]  [  53  -86 100]
 SS    39-2  1.2E-2  [-245 5.2E-13 6.9E-16 1.00000]  !   0    0  98!
 SS    40-1  1.2E-2  [   0 1.00000 1.17E-3 9.9E-10]  [  48 -207   0]
 SS    40-2  1.2E-2  [-158 1.17E-8 1.3E-11 1.49E-2]  [  22  -42   0]
 SS    41-1  1.2E-2  [   0 1.00000 1.04E-3 9.4E-10]  [  48 -208   0]
 SS    41-2  1.2E-2  [-164 6.24E-9 6.5E-12 3.26E-2]  [  18  -34   0]
 SS    42-1  1.3E-2  [   0 1.00000 9.31E-4 1.2E-12]  [  53  -98 100]
 SS    42-2  1.3E-2  [-237 1.3E-12 1.2E-15 1.00000]  !   0    0  98!
 SS    43-1  1.3E-2  [   0 1.00000 8.27E-4 3.1E-13]  [  53 -110   0]
