
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                   (svFSI)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 06-24-2020

 Running sequentially
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Number of available faces: 4
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/bottom.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/top.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/left.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/right.vtp>
 Number of nodes: 81
 Number of elements: 32
 Mesh data imported successfully
 Domain size X: 0.000000 1.000000
 Domain size Y: 0.000000 1.000000
 Number of equations: 1
 Using preconditioner: trilinos-diagonal
 Number of imposed BC for equation <stokes>: 3
 Configuration is completed successfully
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 801
 Initializing state variables to zero
 Eq. <SS>
    Volume of domain <-1> is 9.999E-1
 Area of face <bottom> is 1.000000
 Area of face <top> is 1.000000
 Area of face <left> is 1.000000
 Area of face <right> is 1.000000

---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 New time step size: 1.000E-2
 SS    13-2  3.2E-1  [ -85 5.15E-5 4.13E-7 3.90E-1]  [1000   -9  97]
 SS    13-3  3.3E-1  [ -93 2.01E-5 1.61E-7 1.27E-2]  [1000  -44  96]
 SS    13-4  3.4E-1  [-131 2.56E-7 2.05E-9 1.19E-2]  [1000  -44  97]
 SS    14-1  3.4E-1  [   0 1.00000 4.63E-3 2.28E-5]  [1000 -107  88]
 SS    14-2  3.5E-1  [ -92 2.28E-5 1.05E-7 8.25E-3]  [1000  -48  96]
 SS    14-3  3.5E-1  [-134 1.88E-7 8.7E-10 6.17E-3]  [1000  -51 100]
 SS    14-4  3.6E-1  [-178 1.16E-9 5.3E-12 3.15E-3]  [1000  -58  84]
 SS    15-1  3.7E-1  [   0 1.00000 2.64E-3 2.71E-5]  [1000 -105  98]
 SS    15-2  3.7E-1  [ -91 2.71E-5 7.20E-8 5.18E-3]  [1000  -53 100]
 SS    15-3  3.8E-1  [-137 1.40E-7 3.7E-10 8.01E-3]  [1000  -48  97]
 SS    15-4  3.9E-1  [-178 1.12E-9 2.9E-12 7.40E-3]  [1000  -49  82]
 SS    16-1  3.9E-1  [   0 1.00000 1.50E-3 3.25E-5]  [1000 -103  97]
 SS    16-2  4.0E-1  [ -89 3.25E-5 4.89E-8 9.15E-4]  [1000  -70  97]
 SS    16-3  4.0E-1  [-150 2.98E-8 4.4E-11 4.20E-3]  [1000  -55 100]
 SS    16-4  4.1E-1  [-198 1.2E-10 1.8E-13 1.55E-3]  [1000  -65  84]
 SS    17-1  4.2E-1  [   0 1.00000 8.45E-4 2.77E-5]  [1000 -105  96]
 SS    17-2  4.2E-1  [ -91 2.77E-5 2.34E-8 2.11E-2]  [1000  -39 100]
 SS    17-3  4.3E-1  [-124 5.87E-7 4.9E-10 1.31E-2]  [1000  -43  83]
 SS    17-4  4.4E-1  [-162 7.69E-9 6.5E-12 1.64E-2]  [1000  -41  97]
 SS    18-1  4.4E-1  [   0 1.00000 4.73E-4 2.73E-5]  [1000 -105 100]
 SS    18-2  4.5E-1  [ -91 2.73E-5 1.29E-8 7.87E-3]  [1000  -48  97]
 SS    18-3  4.5E-1  [-133 2.15E-7 1.0E-10 7.07E-3]  [1000  -50  83]
 SS    18-4  4.6E-1  [-176 1.52E-9 7.2E-13 5.54E-4]  [1000  -75  98]
 SS    19-1  4.7E-1  [   0 1.00000 2.62E-4 5.29E-5]  [1000  -98  97]
 SS    19-2  4.7E-1  [ -85 5.29E-5 1.39E-8 1.16E-2]  [1000  -45  97]
 SS    19-3  4.8E-1  [-124 6.17E-7 1.6E-10 1.53E-2]  [1000  -42  95]
 SS    19-4  4.9E-1  [-160 9.45E-9 2.4E-12 1.45E-2]  [1000  -42  83]
 SS    20-1  4.9E-1  [   0 1.00000 1.45E-4 4.23E-5]  [1000 -101  98]
 SS    20-2  5.0E-1  [ -87 4.23E-5 6.16E-9 1.12E-2]  [1000  -45  97]
 SS    20-3  5.0E-1  [-126 4.77E-7 6.9E-11 2.32E-3]  [1000  -61  98]
 SS    20-4  5.1E-1  [-179 1.11E-9 1.6E-13 9.98E-3]  [1000  -46  85]
 SS    21-1  5.2E-1  [   0 1.00000 7.99E-5 2.82E-5]  [1000 -105  96]
 SS    21-2  5.2E-1  [ -90 2.82E-5 2.26E-9 1.39E-3]  [1000  -66  98]
 SS    21-3  5.3E-1  [-148 3.94E-8 3.1E-12 7.11E-3]  [1000  -49  96]
 SS    21-4  5.4E-1  [-191 2.8E-10 2.2E-14 1.41E-2]  [1000  -43  97]
