
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                   (svFSI)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 01-05-2021

 Running in parallel with 12 tasks
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <mesh/P2/coarse/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Number of available faces: 3
 <VTK XML Parser> Loading file <mesh/P2/coarse/mesh-surfaces/endo.vtp>
 <VTK XML Parser> Loading file <mesh/P2/coarse/mesh-surfaces/epi.vtp>
 <VTK XML Parser> Loading file <mesh/P2/coarse/mesh-surfaces/base.vtp>
 Number of nodes: 60336
 Number of elements: 41399
 Mesh data imported successfully
 Domain size X: -1.000E1 1.0000E1
 Domain size Y: -1.000E1 1.0000E1
 Domain size Z: -1.991E1 5.000000
 Number of equations: 1
 Using linear solver: BiCGStab
 Using preconditioner: FSILS
 Number of imposed BC for equation <struct>: 2
 Configuration is completed successfully
 ParMETIS partitioned the mesh by cutting 2264 elements
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 1705633
 Initializing state variables to zero
 Eq. <ST>
    Volume of domain <-1> is 2.9633E3
    Area of face <endo> is 7.8654E2
    Area of face <epi> is 1.3024E3
    Area of face <base> is 1.5956E2

---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 New time step size: 1.000E-2
 ST     9-2  5.65E2  [ -40 9.85E-3 4.09E-2 1.27E-3]  !1000    0  88!
 ST     9-3  5.78E2  [ -81 8.57E-5 3.56E-4 2.10E-2]  !1000   -2  88!
 ST     9-4  5.91E2  [-114 1.80E-6 7.50E-6 1.67E-1]  !1000    0  88!
 ST     9-5s 6.03E2  [-130 3.02E-7 1.25E-6 1.06E-1]  !1000    3  88!
 ST    10-1  6.19E2  [   0 1.00000 5.19517 1.56E-4]  !1000    0  72!
 ST    10-2  6.31E2  [ -48 3.61E-3 1.88E-2 6.95E-3]  !1000    0  88!
 ST    10-3  6.44E2  [ -88 3.71E-5 1.93E-4 2.89E-2]  !1000    0  88!
 ST    10-4  6.56E2  [-118 1.16E-6 6.02E-6 2.41E-1]  !1000    2  88!
 ST    10-5s 6.69E2  [-131 2.80E-7 1.45E-6 5.54E-2]  !1000    0  88!
 ST    11-1  6.84E2  [   0 1.00000 4.16255 1.18E-4]  !1000    0  72!
 ST    11-2  6.97E2  [ -60 9.23E-4 3.84E-3 8.81E-3]  !1000    0  88!
 ST    11-3  7.09E2  [ -95 1.75E-5 7.29E-5 3.58E-2]  !1000    0  88!
 ST    11-4s 7.22E2  [-124 6.28E-7 2.61E-6 8.32E-2]  !1000    0  88!
 ST    12-1  7.37E2  [   0 1.00000 5.36602 6.68E-5]  !1000    0  72!
 ST    12-2  7.50E2  [ -58 1.23E-3 6.63E-3 8.29E-3]  !1000    0  88!
